x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.35077786730274635, shape=(), dtype=float64)","tf.Tensor(50.95528504438288, shape=(), dtype=float64)",0.044,"tf.Tensor(4.143629764332638e-10, shape=(), dtype=float64)","tf.Tensor(2.029087084267886e-10, shape=(), dtype=float64)","tf.Tensor(21.604278771558384, shape=(), dtype=float64)","tf.Tensor([[ 1.35465080e+00 -1.49106223e-03  3.89344890e+00 -1.08707494e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.40173315234712925, shape=(), dtype=float64)","tf.Tensor(56.0686823805112, shape=(), dtype=float64)",0.045,"tf.Tensor(8.093895945271481e-10, shape=(), dtype=float64)","tf.Tensor(3.950266180938843e-10, shape=(), dtype=float64)","tf.Tensor(20.934740739355004, shape=(), dtype=float64)","tf.Tensor([[ 1.47299345e+00 -1.71940452e-03  4.01674313e+00 -1.27138414e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.45780183472764047, shape=(), dtype=float64)","tf.Tensor(61.443858878254446, shape=(), dtype=float64)",0.046,"tf.Tensor(1.5672580917082032e-09, shape=(), dtype=float64)","tf.Tensor(7.578684971810551e-10, shape=(), dtype=float64)","tf.Tensor(20.27393818279006, shape=(), dtype=float64)","tf.Tensor([[ 1.59828287e+00 -1.98435221e-03  4.13685231e+00 -1.48092131e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.5192456936058949, shape=(), dtype=float64)","tf.Tensor(67.08055940449546, shape=(), dtype=float64)",0.047,"tf.Tensor(2.9974930252373714e-09, shape=(), dtype=float64)","tf.Tensor(1.4302349335291681e-09, shape=(), dtype=float64)","tf.Tensor(19.625489555889512, shape=(), dtype=float64)","tf.Tensor([[ 1.73076593e+00 -2.29099019e-03  4.25377971e+00 -1.71806217e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.5863262530103903, shape=(), dtype=float64)","tf.Tensor(72.9782172981573, shape=(), dtype=float64)",0.048,"tf.Tensor(5.650759600375482e-09, shape=(), dtype=float64)","tf.Tensor(2.6532665751381106e-09, shape=(), dtype=float64)","tf.Tensor(18.991475858280317, shape=(), dtype=float64)","tf.Tensor([[ 1.87068916e+00 -2.64488206e-03  4.36752889e+00 -1.98529109e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.6593044703085477, shape=(), dtype=float64)","tf.Tensor(79.13595470376401, shape=(), dtype=float64)",0.049,"tf.Tensor(1.048988903084459e-08, shape=(), dtype=float64)","tf.Tensor(4.839129430469108e-09, shape=(), dtype=float64)","tf.Tensor(18.372853993159975, shape=(), dtype=float64)","tf.Tensor([[ 2.01829838e+00 -3.05209206e-03  4.47810369e+00 -2.28520017e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.7384404250123117, shape=(), dtype=float64)","tf.Tensor(85.55258321819638, shape=(), dtype=float64)",0.05,"tf.Tensor(1.917238721996728e-08, shape=(), dtype=float64)","tf.Tensor(8.682498189122689e-09, shape=(), dtype=float64)","tf.Tensor(17.769794758692164, shape=(), dtype=float64)","tf.Tensor([[ 2.17383849e+00 -3.51920676e-03  4.58550824e+00 -2.62048805e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.823993008230508, shape=(), dtype=float64)","tf.Tensor(92.22660484999713, shape=(), dtype=float64)",0.051000000000000004,"tf.Tensor(3.4513156653140676e-08, shape=(), dtype=float64)","tf.Tensor(1.5340769433173398e-08, shape=(), dtype=float64)","tf.Tensor(17.181925233340444, shape=(), dtype=float64)","tf.Tensor([[ 2.33755304e+00 -4.05335653e-03  4.68974692e+00 -2.99395863e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.9162196130805051, shape=(), dtype=float64)","tf.Tensor(99.15621329027132, shape=(), dtype=float64)",0.052000000000000005,"tf.Tensor(6.123856578513662e-08, shape=(), dtype=float64)","tf.Tensor(2.672540913199594e-08, shape=(), dtype=float64)","tf.Tensor(16.608488686007647, shape=(), dtype=float64)","tf.Tensor([[ 2.50968405e+00 -4.66223674e-03  4.79082443e+00 -3.40851960e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.0153758263707764, shape=(), dtype=float64)","tf.Tensor(106.33929549391917, shape=(), dtype=float64)",0.053,"tf.Tensor(1.0721355183715442e-07, shape=(), dtype=float64)","tf.Tensor(4.5974986052017804e-08, shape=(), dtype=float64)","tf.Tensor(16.048443179908222, shape=(), dtype=float64)","tf.Tensor([[ 2.6904716  -0.00535413  4.88874571 -0.03867181]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.1217151218646955, shape=(), dtype=float64)","tf.Tensor(113.77343356963222, shape=(), dtype=float64)",0.054,"tf.Tensor(1.8544291803245303e-07, shape=(), dtype=float64)","tf.Tensor(7.822936619529861e-08, shape=(), dtype=float64)","tf.Tensor(15.500518721755883, shape=(), dtype=float64)","tf.Tensor([[ 2.88015357 -0.00613792  4.983516   -0.04373053]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.2354885554343278, shape=(), dtype=float64)","tf.Tensor(121.45590697677844, shape=(), dtype=float64)",0.055,"tf.Tensor(3.173535221200965e-07, shape=(), dtype=float64)","tf.Tensor(1.3191060408764347e-07, shape=(), dtype=float64)","tf.Tensor(14.963249472720475, shape=(), dtype=float64)","tf.Tensor([[ 3.07896534 -0.00702313  5.0751408  -0.04929345]], shape=(1, 4), dtype=float64)"
