x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.02454605528084031, shape=(), dtype=float64)","tf.Tensor(-0.21381584292858014, shape=(), dtype=float64)",0.048,"tf.Tensor(1.716176107777632e-05, shape=(), dtype=float64)","tf.Tensor(7.316714141021559e-06, shape=(), dtype=float64)","tf.Tensor(10.972826842260197, shape=(), dtype=float64)","tf.Tensor([[ 6.47159214e+03 -4.81914462e-02 -5.01677262e+04 -4.51019852e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.02433223943791173, shape=(), dtype=float64)","tf.Tensor(2.0305250944364728, shape=(), dtype=float64)",0.049,"tf.Tensor(1.901287565611671e-05, shape=(), dtype=float64)","tf.Tensor(1.8511145783403896e-06, shape=(), dtype=float64)","tf.Tensor(10.870394142198425, shape=(), dtype=float64)","tf.Tensor([[ 2.59494028e+03 -1.92997056e-02 -2.01160611e+04 -1.80847102e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.026362764532348204, shape=(), dtype=float64)","tf.Tensor(1.0901164967832426, shape=(), dtype=float64)",0.05,"tf.Tensor(2.4642616514348025e-05, shape=(), dtype=float64)","tf.Tensor(5.6297408582313165e-06, shape=(), dtype=float64)","tf.Tensor(10.611033235231, shape=(), dtype=float64)","tf.Tensor([[-1.26421049e+03  9.45931923e-03  9.79994398e+03  8.81059511e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.027452881029131446, shape=(), dtype=float64)","tf.Tensor(0.18072630077507468, shape=(), dtype=float64)",0.051000000000000004,"tf.Tensor(4.334813671755181e-05, shape=(), dtype=float64)","tf.Tensor(1.8705520203203784e-05, shape=(), dtype=float64)","tf.Tensor(10.046246837955565, shape=(), dtype=float64)","tf.Tensor([[-5.10557701e+03  3.80833378e-02  3.95780942e+04  3.55819620e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.02763360732990652, shape=(), dtype=float64)","tf.Tensor(0.7348736465988442, shape=(), dtype=float64)",0.052000000000000005,"tf.Tensor(6.50378152223063e-05, shape=(), dtype=float64)","tf.Tensor(2.1689678504754485e-05, shape=(), dtype=float64)","tf.Tensor(9.640541684581873, shape=(), dtype=float64)","tf.Tensor([[ 8.29580735e+03 -6.17799204e-02 -6.43089983e+04 -5.78153593e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.028368480976505364, shape=(), dtype=float64)","tf.Tensor(-0.1193435082663934, shape=(), dtype=float64)",0.053,"tf.Tensor(0.00022836558710378642, shape=(), dtype=float64)","tf.Tensor(0.00016332777188148012, shape=(), dtype=float64)","tf.Tensor(8.384562760957198, shape=(), dtype=float64)","tf.Tensor([[ 2.16350720e+04 -1.61182875e-01 -1.67714533e+05 -1.50779748e+02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.028249137468238972, shape=(), dtype=float64)","tf.Tensor(1.834690437322494, shape=(), dtype=float64)",0.054,"tf.Tensor(0.0005868401417891475, shape=(), dtype=float64)","tf.Tensor(0.00035847455468536113, shape=(), dtype=float64)","tf.Tensor(7.440758106078199, shape=(), dtype=float64)","tf.Tensor([[-2.48867139e+04  1.85490466e-01  1.92920810e+05  1.73441237e+02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.030083827905561467, shape=(), dtype=float64)","tf.Tensor(1.0289110123116236, shape=(), dtype=float64)",0.055,"tf.Tensor(0.0030627341831777834, shape=(), dtype=float64)","tf.Tensor(0.0024758940413886358, shape=(), dtype=float64)","tf.Tensor(5.788447238058399, shape=(), dtype=float64)","tf.Tensor([[-7.11932185e+04  5.30556910e-01  5.51887308e+05  4.96161878e+02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.03111273891787309, shape=(), dtype=float64)","tf.Tensor(0.2535395309283135, shape=(), dtype=float64)",0.056,"tf.Tensor(0.009676276178670538, shape=(), dtype=float64)","tf.Tensor(0.006613541995492755, shape=(), dtype=float64)","tf.Tensor(4.6380781439928125, shape=(), dtype=float64)","tf.Tensor([[-1.17281069e+05  8.73991162e-01  9.09158811e+05  8.17358671e+02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0313662784488014, shape=(), dtype=float64)","tf.Tensor(0.6145412768179958, shape=(), dtype=float64)",0.057,"tf.Tensor(0.011867574802554579, shape=(), dtype=float64)","tf.Tensor(0.002191298623884041, shape=(), dtype=float64)","tf.Tensor(4.433945404415242, shape=(), dtype=float64)","tf.Tensor([[ 4.35736839e+04 -3.24658073e-01 -3.37781950e+05 -3.03674966e+02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0319808197256194, shape=(), dtype=float64)","tf.Tensor(-0.10538205772718501, shape=(), dtype=float64)",0.058,"tf.Tensor(0.037687868306529385, shape=(), dtype=float64)","tf.Tensor(0.025820293503974807, shape=(), dtype=float64)","tf.Tensor(3.2784170318982557, shape=(), dtype=float64)","tf.Tensor([[ 2.03688079e+05 -1.51779330e+00 -1.57898348e+06 -1.41954888e+03]], shape=(1, 4), dtype=float64)"
