x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.012407744261953218, shape=(), dtype=float64)","tf.Tensor(0.14038787345713472, shape=(), dtype=float64)",0.05,"tf.Tensor(4.06309933010929e-11, shape=(), dtype=float64)","tf.Tensor(2.3491321013971437e-12, shape=(), dtype=float64)","tf.Tensor(23.926489958748228, shape=(), dtype=float64)","tf.Tensor([[-2.02030422e+00 -1.00760419e-04 -2.89545304e+00  3.55238426e-03]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.012548132135410353, shape=(), dtype=float64)","tf.Tensor(-0.15543740371817372, shape=(), dtype=float64)",0.051000000000000004,"tf.Tensor(3.109596712774849e-10, shape=(), dtype=float64)","tf.Tensor(2.70328677976392e-10, shape=(), dtype=float64)","tf.Tensor(21.891357886506682, shape=(), dtype=float64)","tf.Tensor([[-6.18712457e+01 -3.52373639e-03 -9.06126500e+01  1.03059145e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01239269473169218, shape=(), dtype=float64)","tf.Tensor(0.8827014870156314, shape=(), dtype=float64)",0.052000000000000005,"tf.Tensor(2.2459659111842563e-09, shape=(), dtype=float64)","tf.Tensor(1.9350062399067715e-09, shape=(), dtype=float64)","tf.Tensor(19.914130158312457, shape=(), dtype=float64)","tf.Tensor([[ 1.46901243e+02  8.41511162e-03  2.15363313e+02 -2.44040295e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01327539621870781, shape=(), dtype=float64)","tf.Tensor(-1.0166194407784337, shape=(), dtype=float64)",0.053,"tf.Tensor(1.3106386867052371e-08, shape=(), dtype=float64)","tf.Tensor(1.0860420955868116e-08, shape=(), dtype=float64)","tf.Tensor(18.150166178448544, shape=(), dtype=float64)","tf.Tensor([[ 3.54704662e+02  2.02973551e-02  5.19916263e+02 -5.89532159e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.012258776777929376, shape=(), dtype=float64)","tf.Tensor(1.5848470790391032, shape=(), dtype=float64)",0.054,"tf.Tensor(4.0427677186097694e-08, shape=(), dtype=float64)","tf.Tensor(2.7321290319045323e-08, shape=(), dtype=float64)","tf.Tensor(17.023751207674906, shape=(), dtype=float64)","tf.Tensor([[ 5.61523895e+02  3.21220518e-02  8.23028533e+02 -9.33382416e-01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01384362385696848, shape=(), dtype=float64)","tf.Tensor(-0.30433285832804335, shape=(), dtype=float64)",0.055,"tf.Tensor(9.208541776377629e-08, shape=(), dtype=float64)","tf.Tensor(5.1657740577678596e-08, shape=(), dtype=float64)","tf.Tensor(16.200549236690055, shape=(), dtype=float64)","tf.Tensor([[ 7.67343987e+02  4.38884477e-02  1.12467370e+03 -1.27557837e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.013539290998640437, shape=(), dtype=float64)","tf.Tensor(1.4289801825314568, shape=(), dtype=float64)",0.056,"tf.Tensor(9.711246385088683e-08, shape=(), dtype=float64)","tf.Tensor(5.02704608711054e-09, shape=(), dtype=float64)","tf.Tensor(16.14739610890949, shape=(), dtype=float64)","tf.Tensor([[ 4.87775461e+01  2.80786129e-03  7.15601648e+01 -8.08902197e-02]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.014968271181171893, shape=(), dtype=float64)","tf.Tensor(-0.44618387845278606, shape=(), dtype=float64)",0.057,"tf.Tensor(1.620704225645561e-07, shape=(), dtype=float64)","tf.Tensor(6.495795871366928e-08, shape=(), dtype=float64)","tf.Tensor(15.635234888983206, shape=(), dtype=float64)","tf.Tensor([[-6.66504126e+02 -3.80862315e-02 -9.76742084e+02  1.10833059e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.014522087302719108, shape=(), dtype=float64)","tf.Tensor(1.9376697812815338, shape=(), dtype=float64)",0.058,"tf.Tensor(5.246775638367873e-07, shape=(), dtype=float64)","tf.Tensor(3.626071412722312e-07, shape=(), dtype=float64)","tf.Tensor(14.460481927151232, shape=(), dtype=float64)","tf.Tensor([[ 1.83242196e+03  1.04780970e-01  2.68563454e+03 -3.04635876e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.01645975708400064, shape=(), dtype=float64)","tf.Tensor(0.07344528918913329, shape=(), dtype=float64)",0.059000000000000004,"tf.Tensor(2.6034754391917243e-06, shape=(), dtype=float64)","tf.Tensor(2.078797875354937e-06, shape=(), dtype=float64)","tf.Tensor(12.858663298153377, shape=(), dtype=float64)","tf.Tensor([[ 4.31973799e+03  2.46983017e-01  6.33099286e+03 -7.18175376e+00]], shape=(1, 4), dtype=float64)"
