x0,x1,time,det_fi
"tf.Tensor(31.730515, shape=(), dtype=float32)","tf.Tensor(293.58987, shape=(), dtype=float32)",0.17500000000000002,33045.110194714034
"tf.Tensor(32.024105, shape=(), dtype=float32)","tf.Tensor(288.36374, shape=(), dtype=float32)",0.176,42150.93038772859
"tf.Tensor(32.31247, shape=(), dtype=float32)","tf.Tensor(283.03177, shape=(), dtype=float32)",0.177,53658.301321464605
"tf.Tensor(32.5955, shape=(), dtype=float32)","tf.Tensor(277.59836, shape=(), dtype=float32)",0.178,68172.27277843466
"tf.Tensor(32.8731, shape=(), dtype=float32)","tf.Tensor(272.06793, shape=(), dtype=float32)",0.179,86443.18960819313
"tf.Tensor(33.14517, shape=(), dtype=float32)","tf.Tensor(266.44504, shape=(), dtype=float32)",0.18,109399.86130278243
"tf.Tensor(33.411613, shape=(), dtype=float32)","tf.Tensor(260.73428, shape=(), dtype=float32)",0.181,138189.90792813708
"tf.Tensor(33.672348, shape=(), dtype=float32)","tf.Tensor(254.94035, shape=(), dtype=float32)",0.182,174228.74828819683
"tf.Tensor(33.927288, shape=(), dtype=float32)","tf.Tensor(249.06801, shape=(), dtype=float32)",0.183,219258.97752763072
"tf.Tensor(34.176357, shape=(), dtype=float32)","tf.Tensor(243.12207, shape=(), dtype=float32)",0.184,275422.213871557
"tf.Tensor(34.41948, shape=(), dtype=float32)","tf.Tensor(237.10742, shape=(), dtype=float32)",0.185,345345.88409339386
"tf.Tensor(34.656586, shape=(), dtype=float32)","tf.Tensor(231.029, shape=(), dtype=float32)",0.186,432247.87620414555
"tf.Tensor(34.887615, shape=(), dtype=float32)","tf.Tensor(224.89182, shape=(), dtype=float32)",0.187,540062.5288843
"tf.Tensor(35.112507, shape=(), dtype=float32)","tf.Tensor(218.70087, shape=(), dtype=float32)",0.188,673592.0543657362
"tf.Tensor(35.331207, shape=(), dtype=float32)","tf.Tensor(212.46126, shape=(), dtype=float32)",0.189,838688.2357268299
"tf.Tensor(35.543667, shape=(), dtype=float32)","tf.Tensor(206.1781, shape=(), dtype=float32)",0.19,1042470.0942580652
"tf.Tensor(35.749844, shape=(), dtype=float32)","tf.Tensor(199.85654, shape=(), dtype=float32)",0.191,1293584.2323548475
"tf.Tensor(35.9497, shape=(), dtype=float32)","tf.Tensor(193.50175, shape=(), dtype=float32)",0.192,1602515.7275085577
"tf.Tensor(36.1432, shape=(), dtype=float32)","tf.Tensor(187.11894, shape=(), dtype=float32)",0.193,1981958.809210752
"tf.Tensor(36.33032, shape=(), dtype=float32)","tf.Tensor(180.71332, shape=(), dtype=float32)",0.194,2447258.129842984
"tf.Tensor(36.511032, shape=(), dtype=float32)","tf.Tensor(174.2901, shape=(), dtype=float32)",0.195,3016933.26296031
"tf.Tensor(36.68532, shape=(), dtype=float32)","tf.Tensor(167.85454, shape=(), dtype=float32)",0.196,3713301.1880594096
"tf.Tensor(36.853176, shape=(), dtype=float32)","tf.Tensor(161.41187, shape=(), dtype=float32)",0.197,4563213.941063297
