x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.051816779411473946, shape=(), dtype=float64)","tf.Tensor(8.733143052512537, shape=(), dtype=float64)",0.044,"tf.Tensor(6.178130466807469e-12, shape=(), dtype=float64)","tf.Tensor(25.81000540368695, shape=(), dtype=float64)","tf.Tensor([[ 2.12527229e+02 -3.17465853e-02 -8.59322334e+03  5.25948491e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.06054992246398648, shape=(), dtype=float64)","tf.Tensor(10.25836744581835, shape=(), dtype=float64)",0.045,"tf.Tensor(2.8828018240166448e-11, shape=(), dtype=float64)","tf.Tensor(24.26967334614259, shape=(), dtype=float64)","tf.Tensor([[ 2.30175475e+02 -3.44014148e-02 -9.30593392e+03  5.69552963e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.07080828990980483, shape=(), dtype=float64)","tf.Tensor(11.920875770961725, shape=(), dtype=float64)",0.046,"tf.Tensor(1.1893055484910407e-10, shape=(), dtype=float64)","tf.Tensor(22.852481365858445, shape=(), dtype=float64)","tf.Tensor([[ 2.47725092e+02 -3.70465538e-02 -1.00145086e+04  6.12899451e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.08272916568076655, shape=(), dtype=float64)","tf.Tensor(13.72060767722056, shape=(), dtype=float64)",0.047,"tf.Tensor(4.3978142691271795e-10, shape=(), dtype=float64)","tf.Tensor(21.544743269457435, shape=(), dtype=float64)","tf.Tensor([[ 2.65175023e+02 -3.96827635e-02 -1.07188998e+04  6.55984277e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.0964497733579871, shape=(), dtype=float64)","tf.Tensor(15.65734613405217, shape=(), dtype=float64)",0.048,"tf.Tensor(1.4799641108825786e-09, shape=(), dtype=float64)","tf.Tensor(20.331247998868072, shape=(), dtype=float64)","tf.Tensor([[ 2.82524229e+02 -4.23109584e-02 -1.14190601e+04  6.98803746e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.11210711949203928, shape=(), dtype=float64)","tf.Tensor(17.73071759582526, shape=(), dtype=float64)",0.049,"tf.Tensor(4.591636082277678e-09, shape=(), dtype=float64)","tf.Tensor(19.199029431444693, shape=(), dtype=float64)","tf.Tensor([[ 2.99771684e+02 -4.49322194e-02 -1.21149432e+04  7.41354135e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.12983783708786453, shape=(), dtype=float64)","tf.Tensor(19.940192323245157, shape=(), dtype=float64)",0.05,"tf.Tensor(1.3278423141241168e-08, shape=(), dtype=float64)","tf.Tensor(18.13712543931257, shape=(), dtype=float64)","tf.Tensor([[ 3.16916377e+02 -4.75478051e-02 -1.28065030e+04  7.83631704e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.14977802941110968, shape=(), dtype=float64)","tf.Tensor(22.285084861149272, shape=(), dtype=float64)",0.051000000000000004,"tf.Tensor(3.6144363926659804e-08, shape=(), dtype=float64)","tf.Tensor(17.135744808472765, shape=(), dtype=float64)","tf.Tensor([[ 3.33957313e+02 -5.01591644e-02 -1.34936943e+04  8.25632688e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.17206311427225895, shape=(), dtype=float64)","tf.Tensor(24.7645546721954, shape=(), dtype=float64)",0.052000000000000005,"tf.Tensor(9.348858516536059e-08, shape=(), dtype=float64)","tf.Tensor(16.185426491897537, shape=(), dtype=float64)","tf.Tensor([[ 3.50893509e+02 -5.27679474e-02 -1.41764724e+04  8.67353307e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.19682766894445436, shape=(), dtype=float64)","tf.Tensor(27.377606925811243, shape=(), dtype=float64)",0.053,"tf.Tensor(2.3205279343703749e-07, shape=(), dtype=float64)","tf.Tensor(15.276300933249212, shape=(), dtype=float64)","tf.Tensor([[ 3.67723999e+02 -5.53760182e-02 -1.48547932e+04  9.08789757e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.2242052758702656, shape=(), dtype=float64)","tf.Tensor(30.123093441620345, shape=(), dtype=float64)",0.054,"tf.Tensor(5.58766760564496e-07, shape=(), dtype=float64)","tf.Tensor(14.397533694932509, shape=(), dtype=float64)","tf.Tensor([[ 3.84447829e+02 -5.79854652e-02 -1.55286133e+04  9.49938219e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.25432836931188596, shape=(), dtype=float64)","tf.Tensor(32.99971378640681, shape=(), dtype=float64)",0.055,"tf.Tensor(1.320887492166113e-06, shape=(), dtype=float64)","tf.Tensor(13.537206704736903, shape=(), dtype=float64)","tf.Tensor([[ 4.01064061e+02 -6.05986135e-02 -1.61978899e+04  9.90794856e+00]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.2873280830982928, shape=(), dtype=float64)","tf.Tensor(36.00601652352961, shape=(), dtype=float64)",0.056,"tf.Tensor(3.1034421115317285e-06, shape=(), dtype=float64)","tf.Tensor(12.682998703906676, shape=(), dtype=float64)","tf.Tensor([[ 4.17571770e+02 -6.32180355e-02 -1.68625807e+04  1.03135581e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.32333409962182236, shape=(), dtype=float64)","tf.Tensor(39.140400613546625, shape=(), dtype=float64)",0.057,"tf.Tensor(7.327558175439238e-06, shape=(), dtype=float64)","tf.Tensor(11.823868225063062, shape=(), dtype=float64)","tf.Tensor([[ 4.33970043e+02 -6.58465619e-02 -1.75226442e+04  1.07161722e+01]], shape=(1, 4), dtype=float64)"
