x0,x1,time,log_det,setp_reward,sensitivity_y
"tf.Tensor(11.816839622275324, shape=(), dtype=float64)","tf.Tensor(325.59305561244923, shape=(), dtype=float64)",0.064,-3.440882510895527,"tf.Tensor(0.3705027359749451, shape=(), dtype=float64)","tf.Tensor([[15.69675979 -0.38621536 -3.99538351 -1.16113022]], shape=(1, 4), dtype=float64)"
"tf.Tensor(12.142432677887774, shape=(), dtype=float64)","tf.Tensor(328.3867837448157, shape=(), dtype=float64)",0.065,-3.069796444295765,"tf.Tensor(0.3710862970752373, shape=(), dtype=float64)","tf.Tensor([[16.13781619 -0.40961136 -4.11218495 -1.21062284]], shape=(1, 4), dtype=float64)"
"tf.Tensor(12.470819461632589, shape=(), dtype=float64)","tf.Tensor(331.1099991261779, shape=(), dtype=float64)",0.066,-2.697857438427155,"tf.Tensor(0.37193941307334555, shape=(), dtype=float64)","tf.Tensor([[16.58300441 -0.4340046  -4.23030736 -1.26130897]], shape=(1, 4), dtype=float64)"
"tf.Tensor(12.801929460758767, shape=(), dtype=float64)","tf.Tensor(333.7627681867735, shape=(), dtype=float64)",0.067,-2.324892021968804,"tf.Tensor(0.3729643215375944, shape=(), dtype=float64)","tf.Tensor([[17.03223682 -0.45941914 -4.34973359 -1.31319108]], shape=(1, 4), dtype=float64)"
"tf.Tensor(13.13569222894554, shape=(), dtype=float64)","tf.Tensor(336.3451636834104, shape=(), dtype=float64)",0.068,-1.9508241861259012,"tf.Tensor(0.37406786674153736, shape=(), dtype=float64)","tf.Tensor([[17.48542582 -0.48587906 -4.47044642 -1.36627123]], shape=(1, 4), dtype=float64)"
"tf.Tensor(13.47203739262895, shape=(), dtype=float64)","tf.Tensor(338.85726466366134, shape=(), dtype=float64)",0.069,-1.5756734987083032,"tf.Tensor(0.3751514460763943, shape=(), dtype=float64)","tf.Tensor([[17.94248381 -0.51340852 -4.5924286  -1.42055097]], shape=(1, 4), dtype=float64)"
"tf.Tensor(13.81089465729261, shape=(), dtype=float64)","tf.Tensor(341.29915642962925, shape=(), dtype=float64)",0.07,-1.1995466531257826,"tf.Tensor(0.3761270659696514, shape=(), dtype=float64)","tf.Tensor([[18.40332326 -0.54203167 -4.71566285 -1.47603147]], shape=(1, 4), dtype=float64)"
"tf.Tensor(14.15219381372224, shape=(), dtype=float64)","tf.Tensor(343.6709305012908, shape=(), dtype=float64)",0.07100000000000001,-0.8226272366548848,"tf.Tensor(0.37691996171163566, shape=(), dtype=float64)","tf.Tensor([[18.86785666 -0.57177272 -4.84013182 -1.53271339]], shape=(1, 4), dtype=float64)"
"tf.Tensor(14.495864744223532, shape=(), dtype=float64)","tf.Tensor(345.972684579422, shape=(), dtype=float64)",0.07200000000000001,-0.44516103248271044,"tf.Tensor(0.3774661873998255, shape=(), dtype=float64)","tf.Tensor([[19.33599657 -0.60265587 -4.96581816 -1.590597  ]], shape=(1, 4), dtype=float64)"
"tf.Tensor(14.841837428802954, shape=(), dtype=float64)","tf.Tensor(348.2045225081116, shape=(), dtype=float64)",0.073,-0.06744016575956557,"tf.Tensor(0.37772079745186815, shape=(), dtype=float64)","tf.Tensor([[19.80765559 -0.63470534 -5.09270446 -1.64968208]], shape=(1, 4), dtype=float64)"
"tf.Tensor(15.190041951311066, shape=(), dtype=float64)","tf.Tensor(350.3665542368684, shape=(), dtype=float64)",0.074,0.31021114422321716,"tf.Tensor(0.377651516831385, shape=(), dtype=float64)","tf.Tensor([[20.28274642 -0.66794534 -5.22077329 -1.70996801]], shape=(1, 4), dtype=float64)"
"tf.Tensor(15.540408505547935, shape=(), dtype=float64)","tf.Tensor(352.4588957823267, shape=(), dtype=float64)",0.075,0.6874551622785532,"tf.Tensor(0.3772432715877123, shape=(), dtype=float64)","tf.Tensor([[20.7611818  -0.70240005 -5.35000718 -1.77145371]], shape=(1, 4), dtype=float64)"
"tf.Tensor(15.892867401330262, shape=(), dtype=float64)","tf.Tensor(354.48166918955627, shape=(), dtype=float64)",0.076,1.0639479477009868,"tf.Tensor(0.3764930894222047, shape=(), dtype=float64)","tf.Tensor([[21.24287459 -0.73809366 -5.48038864 -1.83413769]], shape=(1, 4), dtype=float64)"
"tf.Tensor(16.247349070519817, shape=(), dtype=float64)","tf.Tensor(356.4350024929821, shape=(), dtype=float64)",0.077,1.4393564388118882,"tf.Tensor(0.37540820456485235, shape=(), dtype=float64)","tf.Tensor([[21.72773771 -0.77505032 -5.61190013 -1.89801799]], shape=(1, 4), dtype=float64)"
"tf.Tensor(16.6037840730128, shape=(), dtype=float64)","tf.Tensor(358.31902967691923, shape=(), dtype=float64)",0.078,1.8133628886024766,"tf.Tensor(0.3740065452981156, shape=(), dtype=float64)","tf.Tensor([[22.2156842  -0.81329411 -5.74452411 -1.96309227]], shape=(1, 4), dtype=float64)"
"tf.Tensor(16.96210310268972, shape=(), dtype=float64)","tf.Tensor(360.1338906357279, shape=(), dtype=float64)",0.079,2.1856722792036685,"tf.Tensor(0.37230881974732455, shape=(), dtype=float64)","tf.Tensor([[22.70662721 -0.85284911 -5.87824301 -2.02935773]], shape=(1, 4), dtype=float64)"
"tf.Tensor(17.322236993325447, shape=(), dtype=float64)","tf.Tensor(361.87973113359516, shape=(), dtype=float64)",0.08,2.556015822692512,"tf.Tensor(0.3703435143618705, shape=(), dtype=float64)","tf.Tensor([[23.20048    -0.89373932 -6.01303922 -2.09681116]], shape=(1, 4), dtype=float64)"
"tf.Tensor(17.68411672445904, shape=(), dtype=float64)","tf.Tensor(363.5567027639481, shape=(), dtype=float64)",0.081,2.924153887306378,"tf.Tensor(0.36813843077708697, shape=(), dtype=float64)","tf.Tensor([[23.69715594 -0.93598867 -6.14889512 -2.16544892]], shape=(1, 4), dtype=float64)"
"tf.Tensor(18.04767342722299, shape=(), dtype=float64)","tf.Tensor(365.1649629085039, shape=(), dtype=float64)",0.082,3.289876844695039,"tf.Tensor(0.3657230591636349, shape=(), dtype=float64)","tf.Tensor([[24.19656855 -0.97962102 -6.28579309 -2.23526698]], shape=(1, 4), dtype=float64)"
"tf.Tensor(18.412838390131494, shape=(), dtype=float64)","tf.Tensor(366.70467469596264, shape=(), dtype=float64)",0.083,3.6530034057846077,"tf.Tensor(0.3631268488638071, shape=(), dtype=float64)","tf.Tensor([[24.69863148 -1.02466016 -6.42371546 -2.30626087]], shape=(1, 4), dtype=float64)"
"tf.Tensor(18.779543064827457, shape=(), dtype=float64)","tf.Tensor(368.1760069603483, shape=(), dtype=float64)",0.084,4.013379348099475,"tf.Tensor(0.3603759063896561, shape=(), dtype=float64)","tf.Tensor([[25.20325853 -1.07112978 -6.56264457 -2.37842571]], shape=(1, 4), dtype=float64)"
