global_step=27100, episodic_return=[-34339.977]
global_step=27364, episodic_return=[-25786.104]
global_step=27440, episodic_return=[-37581.184]
global_step=27464, episodic_return=[-30128.902]
global_step=27536, episodic_return=[-33828.85]
global_step=27744, episodic_return=[-35520.832]
global_step=27768, episodic_return=[-38780.867]
global_step=27828, episodic_return=[-33225.29]
global_step=27880, episodic_return=[-36417.27]
global_step=28108, episodic_return=[-36189.008]
global_step=28180, episodic_return=[-37046.566]
global_step=28240, episodic_return=[-24121.404]
global_step=28436, episodic_return=[-10701.447]
global_step=28468, episodic_return=[-37091.97]
global_step=28636, episodic_return=[-24876.348]
global_step=28668, episodic_return=[-29051.066]
global_step=28756, episodic_return=[-38802.844]
global_step=28896, episodic_return=[-29354.031]
global_step=29036, episodic_return=[-34601.977]
global_step=29160, episodic_return=[-32308.408]
global_step=29164, episodic_return=[-26261.123]
global_step=29248, episodic_return=[-36980.23]
global_step=29460, episodic_return=[-32049.469]
global_step=29476, episodic_return=[-38731.13]
global_step=29556, episodic_return=[-34354.53]
global_step=29688, episodic_return=[-30916.332]
global_step=29856, episodic_return=[-33566.61]
global_step=29884, episodic_return=[-32998.133]
global_step=29904, episodic_return=[-39790.47]
global_step=29956, episodic_return=[-36230.176]
global_step=30120, episodic_return=[-39847.71]
global_step=30208, episodic_return=[-36431.62]
global_step=30240, episodic_return=[-38938.062]
global_step=30312, episodic_return=[-30531.867]
global_step=30560, episodic_return=[-38762.83]
global_step=30592, episodic_return=[-23196.75]
global_step=30608, episodic_return=[-32452.68]
global_step=30736, episodic_return=[-33690.625]
global_step=30960, episodic_return=[-34753.457]
global_step=31000, episodic_return=[-33223.18]
global_step=31076, episodic_return=[-36767.777]
global_step=31148, episodic_return=[-12745.061]
global_step=31400, episodic_return=[-30689.293]
global_step=31508, episodic_return=[-36189.766]
global_step=31528, episodic_return=[-19455.854]
global_step=31540, episodic_return=[-29003.207]
global_step=31864, episodic_return=[-25357.77]
global_step=31944, episodic_return=[-30595.316]
global_step=31944, episodic_return=[-35258.586]
global_step=32016, episodic_return=[-23644.035]
global_step=32240, episodic_return=[-39014.793]
global_step=32292, episodic_return=[-30939.797]
global_step=32336, episodic_return=[-34606.633]
global_step=32356, episodic_return=[-37418.645]
global_step=32572, episodic_return=[-38014.113]
global_step=32688, episodic_return=[-35305.777]
global_step=32736, episodic_return=[-36547.426]
SPS: 390
global_step=33312, episodic_return=[12998.066]
global_step=33556, episodic_return=[385808.44]
global_step=33772, episodic_return=[477563.06]
global_step=33888, episodic_return=[363445.78]
global_step=33976, episodic_return=[26099.047]
global_step=34756, episodic_return=[786056.]
global_step=34812, episodic_return=[179112.98]
global_step=34972, episodic_return=[825548.06]
global_step=35088, episodic_return=[841811.2]
global_step=35372, episodic_return=[-39502.82]
global_step=35956, episodic_return=[562613.56]
global_step=36012, episodic_return=[214877.06]
global_step=36172, episodic_return=[959667.75]
global_step=36572, episodic_return=[805888.6]
global_step=37156, episodic_return=[814143.9]
global_step=37212, episodic_return=[706745.1]
global_step=37372, episodic_return=[916804.5]
global_step=37772, episodic_return=[992486.7]
global_step=38356, episodic_return=[811233.2]
global_step=38412, episodic_return=[867291.3]
global_step=38572, episodic_return=[1004286.7]
global_step=38956, episodic_return=[-37356.082]
global_step=38972, episodic_return=[747785.06]
global_step=39556, episodic_return=[913060.56]
global_step=39612, episodic_return=[583010.75]
global_step=40088, episodic_return=[-25147.744]
global_step=40152, episodic_return=[259349.75]
global_step=40172, episodic_return=[819614.44]
global_step=40560, episodic_return=[-31054.703]
global_step=40756, episodic_return=[625043.7]
SPS: 388
global_step=41352, episodic_return=[948638.8]
global_step=41372, episodic_return=[641562.9]
global_step=41760, episodic_return=[986421.1]
global_step=41956, episodic_return=[994524.8]
global_step=42552, episodic_return=[631464.94]
global_step=42572, episodic_return=[933024.1]
global_step=42960, episodic_return=[822432.]
global_step=43156, episodic_return=[993209.8]
global_step=43752, episodic_return=[833273.3]
global_step=43772, episodic_return=[556390.8]
global_step=44160, episodic_return=[818579.75]
global_step=44356, episodic_return=[921174.9]
global_step=44952, episodic_return=[729027.3]
global_step=44972, episodic_return=[846456.5]
global_step=45360, episodic_return=[765770.6]
global_step=45556, episodic_return=[1071562.2]
global_step=45852, episodic_return=[-29157.633]
global_step=46152, episodic_return=[906675.6]
global_step=46172, episodic_return=[689911.06]
global_step=46396, episodic_return=[-14734.436]
global_step=46756, episodic_return=[863573.75]
global_step=47352, episodic_return=[684864.]
global_step=47372, episodic_return=[671622.6]
global_step=47596, episodic_return=[874533.25]
global_step=47956, episodic_return=[983776.25]
global_step=48012, episodic_return=[-32416.438]
global_step=48552, episodic_return=[717170.4]
global_step=48572, episodic_return=[916205.3]
SPS: 385
global_step=49156, episodic_return=[651802.44]
global_step=49212, episodic_return=[851326.2]
global_step=49752, episodic_return=[660352.4]
global_step=49772, episodic_return=[589552.25]
global_step=50224, episodic_return=[-28790.438]
global_step=50356, episodic_return=[521423.53]
global_step=50412, episodic_return=[715447.94]
global_step=50500, episodic_return=[-39392.457]
global_step=50972, episodic_return=[697602.5]
global_step=51556, episodic_return=[581241.9]
global_step=51612, episodic_return=[646615.5]
global_step=51700, episodic_return=[1042954.25]
global_step=52172, episodic_return=[617771.75]
global_step=52756, episodic_return=[695783.56]
global_step=52812, episodic_return=[398986.66]
global_step=52900, episodic_return=[681855.1]
global_step=53320, episodic_return=[-31421.621]
global_step=53372, episodic_return=[1040103.94]
global_step=53956, episodic_return=[875330.75]
global_step=54012, episodic_return=[890970.8]
global_step=54520, episodic_return=[638273.56]
global_step=54572, episodic_return=[587826.4]
global_step=54800, episodic_return=[-39363.37]
global_step=55156, episodic_return=[457272.1]
global_step=55212, episodic_return=[475114.94]
global_step=55608, episodic_return=[-28792.143]
global_step=55772, episodic_return=[557143.94]
global_step=56000, episodic_return=[1085438.2]
global_step=56412, episodic_return=[714408.56]
global_step=56808, episodic_return=[751669.56]
global_step=56972, episodic_return=[917159.44]
global_step=57200, episodic_return=[1190202.]
SPS: 388
global_step=57612, episodic_return=[550057.25]
global_step=58008, episodic_return=[630530.4]
global_step=58172, episodic_return=[565810.75]
global_step=58252, episodic_return=[16701.281]
global_step=58372, episodic_return=[-38276.902]
global_step=58400, episodic_return=[406818.]
global_step=58728, episodic_return=[-30993.]
global_step=58872, episodic_return=[-25291.865]
global_step=59372, episodic_return=[452353.44]
global_step=59600, episodic_return=[507675.34]
global_step=59928, episodic_return=[501491.06]
global_step=60068, episodic_return=[-30724.39]
global_step=60072, episodic_return=[299408.97]
global_step=60296, episodic_return=[-39806.355]
global_step=60432, episodic_return=[-36695.824]
global_step=60572, episodic_return=[850132.2]
global_step=60900, episodic_return=[-38790.26]
global_step=61128, episodic_return=[386144.94]
global_step=61328, episodic_return=[-35350.715]
global_step=61496, episodic_return=[375140.94]
global_step=61632, episodic_return=[451457.34]
global_step=61920, episodic_return=[-39616.75]
global_step=62328, episodic_return=[1017391.1]
global_step=62440, episodic_return=[-14843.105]
global_step=62528, episodic_return=[587532.75]
global_step=62696, episodic_return=[432429.5]
global_step=63528, episodic_return=[603444.8]
global_step=63640, episodic_return=[611972.5]
global_step=63728, episodic_return=[318467.4]
global_step=63896, episodic_return=[334460.12]
global_step=63972, episodic_return=[-28682.441]
global_step=64088, episodic_return=[-35461.39]
global_step=64204, episodic_return=[-38916.51]
global_step=64384, episodic_return=[-35917.562]
global_step=64392, episodic_return=[-38654.027]
global_step=64580, episodic_return=[-37875.246]
global_step=64720, episodic_return=[-38211.543]
global_step=64848, episodic_return=[-34029.91]
global_step=64928, episodic_return=[454364.97]
global_step=65296, episodic_return=[-36929.86]
SPS: 388
global_step=65780, episodic_return=[324305.62]
global_step=65920, episodic_return=[485539.16]
global_step=66048, episodic_return=[282696.94]
global_step=66064, episodic_return=[-39567.254]
global_step=66208, episodic_return=[-39517.855]
global_step=66296, episodic_return=[-39800.844]
global_step=66344, episodic_return=[-39452.434]
global_step=66396, episodic_return=[-39931.414]
global_step=66496, episodic_return=[447453.16]
global_step=66596, episodic_return=[-39603.406]
global_step=66652, episodic_return=[-38895.133]
global_step=66868, episodic_return=[-37643.082]
global_step=66884, episodic_return=[-39850.926]
global_step=67224, episodic_return=[-38051.42]
global_step=67268, episodic_return=[-37408.383]
global_step=67596, episodic_return=[304983.06]
global_step=67596, episodic_return=[-37362.973]
global_step=67796, episodic_return=[292810.78]
global_step=67860, episodic_return=[-39499.258]
